IITA_Cassava_Kephis_ICK,MeristemID1,MeristemID2,MeristemID3,MeristemID4,MeristemID5,MeristemID6,MeristemID7,MeristemID8,MeristemID9,MeristemID10,MeristemID11,MeristemID12,MeristemID13,NumberMeristems
ICK217,ICK217_Tip,,,,,,,,,,,,,1
ICK218,ICK218_M1,ICK218_M2,ICK218_M3,ICK218_M4,,,,,,,,,,4
ICK220,ICK220_Tip,,,,,,,,,,,,,1
ICK222,ICK222_M1,ICK222_M2,ICK222_M3,ICK222_M4,ICK222_M5,ICK222_M6,ICK222_M7,ICK222_M8,,,,,,8
ICK224,ICK224_M4,,,,,,,,,,,,,1
ICK228,ICK228_M1,ICK228_M2,ICK228_M3,,,,,,,,,,,3
ICK230,ICK230_M1,ICK230_M2,,,,,,,,,,,,2
ICK231,ICK231_M1,ICK231_M2,ICK231_M3,ICK231_M4,,,,,,,,,,4
ICK232,ICK232_M1,ICK232_M2,ICK232_M3,ICK232_M4,ICK232_M5,ICK232_M6,,,,,,,,6
ICK233,ICK233_M1,ICK233_M2,ICK233_M3,,,,,,,,,,,3
ICK234,ICK234_M1,ICK234_M2,ICK234_M3,ICK234_M4,ICK234_M5,,,,,,,,,5
ICK235,ICK235_M1,ICK235_M2,ICK235_M3,ICK235_M4,ICK235_M5,ICK235_M6,ICK235_M7,ICK235_M8,,,,,,8
ICK236,ICK236_M1,ICK236_M2,ICK236_M3,ICK236_M4,,,,,,,,,,4
ICK237,ICK237_M1,ICK237_M2,ICK237_M3,ICK237_M5,,,,,,,,,,4
ICK238,ICK238_M1,ICK238_M2,ICK238_M3,ICK238_M4,ICK238_M5,ICK238_M6,ICK238_M7,ICK238_M8,ICK238_M9,,,,,9
ICK239,ICK239_M1,ICK239_M10,ICK239_M11,ICK239_M12,ICK239_M2,ICK239_M3,ICK239_M4,ICK239_M5,ICK239_M6,ICK239_M7,ICK239_M8,ICK239_M9,,12
ICK240,ICK240_M1,ICK240_M2,ICK240_M3,ICK240_M4,ICK240_M5,ICK240_M6,,,,,,,,6
ICK241,ICK241_M1,ICK241_M2,ICK241_M3,ICK241_M4,,,,,,,,,,4
ICK242,ICK242_M1,ICK242_M2,ICK242_M3,ICK242_M4,ICK242_M5,ICK242_M6,ICK242_M7,,,,,,,7
ICK243,ICK243_M1,ICK243_M2,ICK243_M3,ICK243_M4,ICK243_M5,,,,,,,,,5
ICK244,ICK244_M1,ICK244_M10,ICK244_M2,ICK244_M3,ICK244_M4,ICK244_M5,ICK244_M6,ICK244_M7,ICK244_M8,ICK244_M9,,,,10
ICK245,ICK245_M1,ICK245_M2,ICK245_M3,ICK245_M4,ICK245_M5,ICK245_M6,,,,,,,,6
ICK246,ICK246_M1,ICK246_M2,ICK246_M3,ICK246_M4,ICK246_M5,,,,,,,,,5
ICK248,ICK248_M1,ICK248_M2,ICK248_M3,ICK248_M4,,,,,,,,,,4
ICK249,ICK249_Tip,,,,,,,,,,,,,1
ICK250,ICK250_Tip,,,,,,,,,,,,,1
ICK254,ICK254_Tip,,,,,,,,,,,,,1
ICK255,ICK255_Tip,,,,,,,,,,,,,1
ICK256,ICK256_M1,,,,,,,,,,,,,1
